,Acc,F1,BCA,EER
2024,0.3345,0.3335,0.3344,0.4895
2025,0.3495,0.3488,0.3495,0.4893
2026,0.364,0.3632,0.364,0.4685
2027,0.3361,0.3319,0.3361,0.5
2028,0.3585,0.3576,0.3585,0.4838
Avg,0.3485,0.347,0.3485,0.4862
Std,0.0118,0.0126,0.0118,0.0103
