,Acc,F1,BCA,EER
2024,0.6348,0.6322,0.6349,0.2594
2025,0.6499,0.6488,0.6499,0.257
2026,0.6499,0.6493,0.6499,0.2497
2027,0.6343,0.6322,0.6343,0.2617
2028,0.6544,0.6544,0.6544,0.255
Avg,0.6447,0.6434,0.6447,0.2566
Std,0.0084,0.0094,0.0084,0.0041
