,Acc,F1,BCA,EER
2024,0.7013,0.6965,0.7014,0.2126
2025,0.6549,0.6541,0.655,0.2458
2026,0.5734,0.5721,0.5734,0.2913
2027,0.6577,0.6574,0.6578,0.2466
2028,0.6505,0.651,0.6505,0.2525
Avg,0.6476,0.6462,0.6476,0.2498
Std,0.0413,0.0406,0.0414,0.0251
