,Acc,F1,BCA,EER
2024,0.3629,0.3629,0.3629,0.4707
2025,0.4048,0.4005,0.4047,0.4378
2026,0.3652,0.3625,0.3651,0.4658
2027,0.3981,0.3972,0.3981,0.4507
2028,0.3908,0.3909,0.3908,0.45
Avg,0.3844,0.3828,0.3843,0.455
Std,0.0172,0.0167,0.0172,0.0119
