,Acc,F1,BCA,EER
2024,0.5706,0.5704,0.5706,0.3127
2025,0.5924,0.5924,0.5924,0.3025
2026,0.5678,0.5664,0.5679,0.3114
2027,0.5583,0.5572,0.5583,0.3187
2028,0.5891,0.5884,0.589,0.3056
Avg,0.5757,0.575,0.5756,0.3102
Std,0.013,0.0134,0.013,0.0057
