,Acc,F1,BCA,EER
2024,0.6309,0.6286,0.6309,0.2684
2025,0.6131,0.6116,0.613,0.2852
2026,0.6421,0.6397,0.6421,0.2563
2027,0.6655,0.6644,0.6656,0.2374
2028,0.6555,0.6545,0.6555,0.2508
Avg,0.6414,0.6398,0.6414,0.2596
Std,0.0184,0.0187,0.0184,0.0162
