,Acc,F1,BCA,EER
2024,0.8367,0.8349,0.8367,0.83
2025,0.8467,0.8466,0.8467,0.84
2026,0.83,0.8287,0.83,0.845
2027,0.83,0.8293,0.83,0.8233
2028,0.8333,0.8315,0.8333,0.8233
Avg,0.8353,0.8342,0.8353,0.8323
Std,0.0062,0.0066,0.0062,0.0088
