,Acc,F1,BCA,EER
2024,0.8767,0.8767,0.8767,0.875
2025,0.855,0.855,0.855,0.86
2026,0.8567,0.8566,0.8567,0.8667
2027,0.8667,0.8666,0.8667,0.8517
2028,0.8817,0.8816,0.8817,0.875
Avg,0.8673,0.8673,0.8673,0.8657
Std,0.0106,0.0106,0.0106,0.009
