,Acc,F1,BCA,EER
2024,0.8383,0.8383,0.8383,0.84
2025,0.87,0.8696,0.87,0.87
2026,0.8483,0.8481,0.8483,0.8583
2027,0.88,0.88,0.88,0.8767
2028,0.86,0.859,0.86,0.815
Avg,0.8593,0.859,0.8593,0.852
Std,0.0149,0.0148,0.0149,0.0223
