,Acc,F1,BCA,EER
2024,0.8083,0.8082,0.8083,0.8033
2025,0.8133,0.813,0.8133,0.8033
2026,0.8017,0.8016,0.8017,0.7967
2027,0.8117,0.8115,0.8117,0.815
2028,0.805,0.8045,0.805,0.8017
Avg,0.808,0.8078,0.808,0.804
Std,0.0043,0.0043,0.0043,0.006
