,Acc,F1,BCA,EER
2024,0.7717,0.771,0.7717,0.7933
2025,0.76,0.7599,0.76,0.77
2026,0.7667,0.7666,0.7667,0.7667
2027,0.7733,0.7733,0.7733,0.77
2028,0.76,0.7599,0.76,0.7633
Avg,0.7663,0.7661,0.7663,0.7727
Std,0.0056,0.0055,0.0056,0.0106
