,Acc,F1,BCA,EER
2024,0.7967,0.7958,0.7967,0.82
2025,0.8467,0.8461,0.8467,0.8233
2026,0.7867,0.7867,0.7867,0.7867
2027,0.8,0.7998,0.8,0.8067
2028,0.8167,0.8161,0.8167,0.85
Avg,0.8093,0.8089,0.8093,0.8173
Std,0.021,0.0209,0.021,0.0208
