,Acc,F1,BCA,EER
2024,0.6176,0.6202,0.6462,0.2756
2025,0.6446,0.6437,0.6837,0.2533
2026,0.6149,0.6197,0.6389,0.2692
2027,0.5919,0.5938,0.6302,0.2836
2028,0.65,0.6541,0.683,0.2654
Avg,0.6238,0.6263,0.6564,0.2694
Std,0.0212,0.021,0.0226,0.0101
