,Acc,F1,BCA,EER
2024,0.677,0.6809,0.7052,0.2288
2025,0.6716,0.6765,0.6817,0.2312
2026,0.6811,0.6847,0.7035,0.2286
2027,0.6541,0.6582,0.6813,0.2445
2028,0.6649,0.6683,0.6775,0.2286
Avg,0.6697,0.6737,0.6898,0.2324
Std,0.0095,0.0095,0.012,0.0062
