,Acc,F1,BCA,EER
2024,0.5703,0.5756,0.601,0.3065
2025,0.5932,0.5986,0.6287,0.2792
2026,0.5838,0.5744,0.6184,0.2868
2027,0.5757,0.5797,0.6067,0.3116
2028,0.5824,0.5841,0.6237,0.2997
Avg,0.5811,0.5825,0.6157,0.2968
Std,0.0078,0.0088,0.0104,0.0121
