,Acc,F1,BCA,EER
2024,0.5203,0.5204,0.5675,0.346
2025,0.5243,0.5266,0.5759,0.33
2026,0.5378,0.5415,0.5844,0.3366
2027,0.5365,0.5393,0.5821,0.3501
2028,0.5514,0.5499,0.5917,0.3389
Avg,0.5341,0.5355,0.5803,0.3403
Std,0.011,0.0106,0.0082,0.0071
