,Acc,F1,BCA,EER
2024,0.7176,0.7199,0.7195,0.1935
2025,0.6919,0.6953,0.6984,0.2187
2026,0.7162,0.7192,0.7197,0.2078
2027,0.7027,0.7066,0.7098,0.2077
2028,0.7189,0.7215,0.7244,0.196
Avg,0.7095,0.7125,0.7144,0.2047
Std,0.0105,0.0101,0.0093,0.0091
