,Acc,F1,BCA,EER
2024,0.5121,0.5127,0.5121,0.3494
2025,0.5337,0.5335,0.5337,0.3367
2026,0.5433,0.5376,0.5433,0.3349
2027,0.4992,0.4941,0.4992,0.3544
2028,0.5425,0.5446,0.5425,0.3331
Avg,0.5262,0.5245,0.5262,0.3417
Std,0.0176,0.0185,0.0176,0.0085
