,Acc,F1,BCA,EER
2024,0.5379,0.5395,0.5379,0.3325
2025,0.5446,0.5471,0.5446,0.3446
2026,0.5412,0.5433,0.5413,0.3382
2027,0.5442,0.5464,0.5442,0.3358
2028,0.5442,0.5459,0.5442,0.3361
Avg,0.5424,0.5444,0.5424,0.3375
Std,0.0025,0.0028,0.0025,0.004
