,Acc,F1,BCA,EER
2024,0.6358,0.6361,0.6358,0.2661
2025,0.6125,0.6134,0.6125,0.2848
2026,0.645,0.6454,0.645,0.258
2027,0.3333,0.1667,0.3333,0.5
2028,0.3333,0.1667,0.3333,0.5
Avg,0.512,0.4456,0.512,0.3618
Std,0.1463,0.228,0.1463,0.1132
