,Acc,F1,BCA,EER
2024,0.6667,0.6677,0.6667,0.2419
2025,0.6646,0.6644,0.6646,0.2417
2026,0.6608,0.6616,0.6608,0.2494
2027,0.6567,0.6566,0.6567,0.2472
2028,0.6633,0.6632,0.6633,0.247
Avg,0.6624,0.6627,0.6624,0.2454
Std,0.0034,0.0036,0.0034,0.0031
