,Acc,F1,BCA,EER
2024,0.5342,0.534,0.5342,0.341
2025,0.4929,0.492,0.4929,0.3695
2026,0.5171,0.5164,0.5171,0.3538
2027,0.5504,0.5505,0.5504,0.3355
2028,0.5042,0.5008,0.5042,0.3597
Avg,0.5197,0.5188,0.5197,0.3519
Std,0.0206,0.0214,0.0206,0.0123
