,Acc,F1,BCA,EER
2024,0.6746,0.6746,0.6746,0.2418
2025,0.6571,0.6575,0.6571,0.2477
2026,0.6587,0.6574,0.6588,0.2494
2027,0.6654,0.666,0.6654,0.2434
2028,0.675,0.6753,0.675,0.2379
Avg,0.6662,0.6661,0.6662,0.244
Std,0.0076,0.0078,0.0076,0.0041
